Word	Match	Lexicality	Old20	Old20_Diff	Ned1	Ned1_Diff	Overlap_Ratio	Maxdeviation	Summed_Deviation	Maxdeviation_Transition
podmiot	podsiut	N	2.5	0.45	0	-3	2/3	-15	32	_pod[siu]t_
podmiot	pojbiot	N	2.9	0.85	0	-3	2/3	-14	30	_poj[bio]t_
podmiot	pojsiot	N	2.9	0.85	0	-3	2/3	-9	17	_p[oj]siot_
podmiot	pojpiot	N	2.9	0.85	0	-3	2/3	-9	24	_p[oj]piot_
podmiot	podbiut	N	2.0	-0.05	0	-3	2/3	-29	43	_pod[biu]t_
podmiot	podwiut	N	2.0	-0.05	0	-3	2/3	-24	38	_pod[wiu]t_
podmiot	poddiat	N	2.0	-0.05	0	-3	2/3	18	27	_po[dd]iat_
podmiot	poddiut	N	2.75	0.7	0	-3	2/3	18	43	_po[dd]iut_
podmiot	poddiet	N	1.95	-0.1	1	-2	2/3	19	55	_podd[iet]_
podmiot	podpiut	N	2.0	-0.05	0	-3	2/3	-26	34	_pod[piu]t_
podmiot	podgiat	N	2.0	-0.05	0	-3	2/3	-21	42	_pod[gia]t_
podmiot	podtiet	N	1.95	-0.1	1	-2	2/3	-21	54	_pod[tie]t_
podmiot	podtiat	N	2.3	0.25	0	-3	2/3	-17	36	_pod[tia]t_
podmiot	podtiut	N	2.5	0.45	0	-3	2/3	-26	48	_pod[tiu]t_
podmiot	podkiat	N	2.2	0.15	0	-3	2/3	-27	43	_pod[kia]t_
podmiot	pojwiot	N	2.75	0.7	0	-3	2/3	-22	46	_poj[wio]t_
podmiot	pojgiot	N	2.9	0.85	0	-3	2/3	-24	39	_poj[gio]t_
podmiot	pojziot	N	2.85	0.8	0	-3	2/3	-20	34	_poj[zio]t_
podmiot	pojfiot	N	2.9	0.85	0	-3	2/3	-27	43	_poj[fio]t_
podmiot	pomwiot	N	2.6	0.55	1	-2	2/3	38	79	_p[om]wiot_
sektor	sudtor	N	2.4	0.9	0	-8	2/3	7	15	_su[dt]or_
sektor	suztor	N	2.1	0.6	0	-8	2/3	-10	19	_s[uz]tor_
sektor	sidtor	N	2.15	0.65	0	-8	2/3	-15	35	_s[id]tor_
sektor	siztor	N	2.0	0.5	0	-8	2/3	13	25	_[si]ztor_
sektor	suńtor	N	2.45	0.95	0	-8	2/3	23	27	_s[uń]tor_
sektor	sułtor	N	2.4	0.9	0	-8	2/3	38	77	_s[uł]tor_
sektor	siłtor	N	2.2	0.7	0	-8	2/3	53	103	_s[ił]tor_
sektor	sekkur	N	2.6	1.1	0	-8	2/3	-49	109	_sekk[ur]_
sektor	suttor	N	2.1	0.6	0	-8	2/3	65	71	_su[tt]or_
sektor	sujtor	N	2.45	0.95	0	-8	2/3	126	183	_s[uj]tor_
sektor	seńtyr	N	2.7	1.2	0	-8	2/3	-122	255	_seńt[yr]_
sektor	sednor	N	2.25	0.75	1	-7	2/3	-98	139	_sed[no]r_
sektor	sedtyr	N	2.65	1.15	0	-8	2/3	-122	240	_sedt[yr]_
sektor	seznor	N	2.4	0.9	0	-8	2/3	-98	123	_sez[no]r_
sektor	seztyr	N	2.6	1.1	0	-8	2/3	-122	235	_sezt[yr]_
sektor	settyr	N	2.35	0.85	0	-8	2/3	-122	277	_sett[yr]_
sektor	syńtor	N	2.8	1.3	0	-8	2/3	-104	152	_[sy]ńtor_
sektor	syltor	N	2.7	1.2	0	-8	2/3	-104	276	_[sy]ltor_
sektor	syłtor	N	2.8	1.3	0	-8	2/3	-104	210	_[sy]łtor_
sektor	symtor	N	2.65	1.15	0	-8	2/3	107	226	_s[ym]tor_
kawałek	rorałek	N	2.25	0.45	0	-2	2/3	1862	5080	_[ro]rałek_
kawałek	rokałek	N	2.45	0.65	0	-2	2/3	-1979	5635	_ro[k]ałek_
kawałek	rolałek	N	1.95	0.15	1	-1	2/3	1862	4620	_[ro]lałek_
kawałek	rosałek	N	1.9	0.1	2	0	2/3	-1973	6825	_ro[s]ałek_
kawałek	romałek	N	2.3	0.5	0	-2	2/3	1862	5072	_[ro]małek_
kawałek	robałek	N	2.0	0.2	0	-2	2/3	1862	5874	_[ro]bałek_
kawałek	rotałek	N	2.4	0.6	0	-2	2/3	-2003	5466	_ro[t]ałek_
kawałek	ronałek	N	2.4	0.6	0	-2	2/3	1862	5676	_[ro]nałek_
kawałek	ropałek	N	1.9	0.1	2	0	2/3	1862	4000	_[ro]pałek_
kawałek	morałek	N	1.95	0.15	1	-1	2/3	-1970	5503	_[mo]rałek_
kawałek	mokałek	N	2.4	0.6	0	-2	2/3	-1979	6058	_mo[k]ałek_
kawałek	molałek	N	2.0	0.2	0	-2	2/3	-1970	5043	_[mo]lałek_
kawałek	mosałek	N	2.1	0.3	0	-2	2/3	-1973	7248	_mo[s]ałek_
kawałek	momałek	N	2.5	0.7	0	-2	2/3	-1970	5495	_[mo]małek_
kawałek	mobałek	N	2.55	0.75	0	-2	2/3	-1970	6297	_[mo]bałek_
kawałek	motałek	N	1.9	0.1	2	0	2/3	-2003	5889	_mo[t]ałek_
kawałek	monałek	N	2.5	0.7	0	-2	2/3	-1970	6099	_[mo]nałek_
kawałek	mopałek	N	2.0	0.2	1	-1	2/3	-1970	4423	_[mo]pałek_
kawałek	nacałęk	N	2.95	1.15	0	-2	2/3	-3918	13972	_naca[łę]k_
kawałek	nacałak	N	2.45	0.65	0	-2	2/3	2652	10881	_[na]całak_
zachód	napłód	N	2.3	0.4	0	0	2/3	-279	380	_[na]płód_
zachód	naśród	N	1.95	0.05	2	2	2/3	-279	377	_[na]śród_
zachód	nagłód	N	1.95	0.05	1	1	2/3	-279	381	_[na]głód_
zachód	naspód	N	2.3	0.4	0	0	2/3	-279	381	_[na]spód_
zachód	nabwód	N	2.5	0.6	0	0	2/3	-279	381	_[na]bwód_
zachód	nadwód	N	2.4	0.5	0	0	2/3	-279	381	_[na]dwód_
zachód	tagród	N	2.2	0.3	2	2	2/3	-467	539	_[ta]gród_
zachód	tapłód	N	2.9	1.0	0	0	2/3	-467	544	_[ta]płód_
zachód	taśród	N	2.6	0.7	0	0	2/3	-467	541	_[ta]śród_
zachód	tagłód	N	2.6	0.7	0	0	2/3	-467	545	_[ta]głód_
zachód	taspód	N	2.9	1.0	0	0	2/3	-467	545	_[ta]spód_
zachód	tabwód	N	2.85	0.95	0	0	2/3	-467	545	_[ta]bwód_
zachód	tadwód	N	2.85	0.95	0	0	2/3	-467	545	_[ta]dwód_
zachód	cagród	N	2.25	0.35	2	2	2/3	-799	974	_[ca]gród_
zachód	capłód	N	2.8	0.9	0	0	2/3	-799	979	_[ca]płód_
zachód	caśród	N	2.6	0.7	0	0	2/3	-799	976	_[ca]śród_
